nom,dates,lieu,prix_min, prix_max
INTO THE WOODS FESTIVAL 2025,"September 19- 20, 2025","Amersfoort, Netherlands","65 GBP, 250 GBP"
NEW ENGLAND METAL & HARDCORE FEST 2025,"September 20,  2025","Worcester, MA","89 USD, 349 USD"
PYGMALION MUSIC FESTIVAL 2025,"September 18- 20, 2025","Champaign, IL","29 USD, 250 USD"
REEPERBAHN FESTIVAL 2025,"September 17- 20, 2025","Hamburg, Germany","39 EUR, 240 EUR"
SMALLTOWN FOR THE CAUSE 2025,"September 19- 20, 2025","Salida, CO","20 USD, 20 USD"
SUNICE FESTIVAL 2025,"September 18- 20, 2025","Lido Ascona, Switzerland","499 RMB, 2 999 RMB"
ANNAPOLIS BAYGRASS FESTIVAL 2025,"September 20- 21, 2025","Annapolis, MD","169 USD, 349 USD"
AUDRA FESTIVAL 2025,"September 18- 21, 2025","Kaunas, Lithuania","150 USD, 300 USD"
BEONIX 2025,"September 19- 21, 2025","Larnaca, Cyprus","150 EUR, 450 EUR"
BRISTOL RHYTHM AND ROOTS 2025,"September 19- 21, 2025","Bristol, TN/VA","35 GBP, 135 GBP"
CAMP DEEP END 2025,"September 19- 21, 2025","Navarro, CA","249 USD, 649 USD"
CAPRICES FESTIVAL GSTAAD 2025,"September 19- 21, 2025","Gstaad, Switzerland","69 CHF, 649 CHF"
CASCADE EQUINOX FESTIVAL 2025,"September 19- 21, 2025","Redmond, OR","289 USD, 699 USD"
COSMIC VOID FESTIVAL 2025,"September 19- 21, 2025","London, UK","70 EUR, 150 EUR"
EXPERTS ONLY FESTIVAL 2025,"September 20- 21, 2025","New York, NY","250 EUR, 1 000 EUR"
FRANKENMUTH OKTOBERFEST 2025,"September 18- 21, 2025","Frankenmuth, MI","15 USD, 20 USD"
FRESHGRASS FESTIVAL 2025,"September 19- 21, 2025","North Adams, MA","159 USD, 409 USD"
HOWTHELIGHTGETSIN LONDON 2025,"September 20- 21, 2025","London, UK","28 GBP, 990 GBP"
IRON BLOSSOM 2025,"September 20- 21, 2025","Richmond, VA","150 USD, 300 USD"
LOST LANDS 2025,"September 19- 21, 2025","Thornville, OH","250 USD, 1500 USD"
LOUDER THAN LIFE FESTIVAL 2025,"September 18- 21, 2025","Louisville, KY","299 USD, 2 199 USD"
MAKING TIME FESTIVAL 2025,"September 19- 21, 2025","Philadelphia, PA","99 USD, 299 USD"
PORTOLA FESTIVAL 2025,"September 20- 21, 2025","San Francisco, CA","200 USD, 600 USD"
RIOT FEST CHICAGO 2025,"September 19- 21, 2025","Chicago, IL","N/A, N/A"
SHAKY KNEES FESTIVAL 2025,"September 19- 21, 2025","Atlanta, GA","199 USD, 1 700 USD"
SING OUT LOUD 2025,"September 20- 21, 2025","St Augustine, FL","Gratuit, Gratuit"
SUPER GIRL SURF PRO 2025,"September 19- 21, 2025","Oceanside, CA","N/A Gratuit, N/A Gratuit"
WOODSIST FESTIVAL 2025,"September 20- 21, 2025","Accord, NY","160 USD, 365 USD"
XPONENTIAL FESTIVAL 2025,"September 19- 21, 2025","Camden, NJ","50 USD, 175 USD"
BOUNDARY BRIGHTON 2025,"September 27,  2025","Brighton, UK","60 GBP, 160 GBP"
BREAKAWAY FESTIVAL CAROLINA 2025,"September 26- 27, 2025","Charlotte, NC","69 USD, 249 USD"
BREAKAWAY FESTIVAL PHILADELPHIA 2025,"September 26- 27, 2025","Philadelphia, PA","69.99 USD, 249.99 USD"
CBGB FESTIVAL 2025,"September 27,  2025","Brooklyn, NY","N/A, N/A"
DREAM NATION 2025,"September 26- 27, 2025","Paris, France","49 EUR, 189 EUR"
FIRST CITY MUSIC FESTIVAL 2025,"September 25- 27, 2025","Vincennes, IN","N/A, N/A"
FLOAT ALONG FESTIVAL 2025,"September 27,  2025","Sheffield, UK","79 GBP, 119 GBP"
LEGACY CUP 2025,"September 27,  2025","Minneapolis, MN","N/A, N/A"
SUPREMACY 2025,"September 27,  2025","Arnhem, Netherlands","85 EUR, 115 EUR"
ALL THINGS GO FESTIVAL 2025,"September 26- 28, 2025","Columbia, MD","99 USD, 350 USD"
ALL THINGS GO FESTIVAL NYC 2025,"September 26- 28, 2025","New York, NY","99 USD, 350 USD"
BIG FAM FESTIVAL 2025,"September 26- 28, 2025","Brooklyn, MI","50 USD, 300 USD"
COLD WAVES 2025,"September 24- 28, 2025","Chicago, IL","170 USD, 450 USD"
CRSSD FESTIVAL FALL 2025,"September 27- 28, 2025","San Diego, CA","240 USD, 400 USD"
DAS BESTE OKTOBERFEST USA 2025,"September 25- 28, 2025","La Crosse, WI","25 USD, 50 USD"
DENVER OKTOBERFEST 2025,"September 19- 28, 2025","Denver, CO","N/A, N/A"
EVOLUTION FESTIVAL 2025,"September 27- 28, 2025","St. Louis, Missouri","89.50 USD, 599.50 USD"
GLOBAL CITIZEN FESTIVAL 2025,"September 28,  2025","New York City, NY","Gratuit, Gratuit"
HOLO HOLO SACRAMENTO 2025,"September 27- 28, 2025","Sacramento, CA","169 USD, 449 USD"
LEVITATION 2025,"September 25- 28, 2025","Austin, TX","420 USD, 1 795 USD"
MONTEREY JAZZ FESTIVAL 2025,"September 26- 28, 2025","Monterey, CA","90 USD, 600 USD"
OCEANS CALLING FESTIVAL 2025,"September 26- 28, 2025","Ocean City, MD","299 USD, 999 USD"
OHANA FESTIVAL 2025,"September 26- 28, 2025","Dana Point, CA","179 USD, 1699 USD"
PILGRIMAGE MUSIC FESTIVAL 2025,"September 27- 28, 2025","Franklin, TN","N/A, N/A"
POP MONTREAL 2025,"September 24- 28, 2025","Montreal, QC","60 CAD, 450 CAD"
ROCK THE LOCKS 2025,"September 26- 28, 2025","Umatilla, OR","50 GBP, 70 GBP"
SAME SAME BUT DIFFERENT 2025,"September 26- 28, 2025","Perris, CA","180 USD, 425 USD"
SISTERS FOLK FESTIVAL 2025,"September 26- 28, 2025","Sisters, OR","75 USD, 150 USD"
SOUNDSIDE FESTIVAL 2025,"September 27- 28, 2025","Bridgeport, CT","170 USD, 450 USD"
FULL METAL CRUISE 2025,"September 20- 30, 2025","Kiel, Germany","2 499 USD, 6 499 USD"
3 SISTERS BLUEGRASS FESTIVAL 2025,"October 3- 4, 2025","Chattanooga, TN","55 USD, 195 USD"
BIG MUDDY MONSTER BREW FEST 2025,"October 4,  2025","Murphysboro, IL","45 USD, 55 USD"
BREAKAWAY ALABAMA 2025,"October 3- 4, 2025","Huntsville, AL","79 USD, 169 USD"
FETE DU VOID 2025,"October 2- 4, 2025","Oakdale, LA","N/A, N/A"
KARLSRUHE OKTOBERFEST 2025,"September 27- October 4, 2025","Messplatz, Karlsruhe","N/A, N/A"
LIVINGSTON SONGWRITER FESTIVAL 2025,"October 2- 4, 2025","Livingston, MT","45 USD, 250 USD"
OFF BEAT MUSIC FESTIVAL 2025,"October 2- 4, 2025","Reno, NV","129 CHF, 249 CHF"
SOUTHERN STRINGS FEST 2025,"October 3- 4, 2025","Aiken, SC","50 USD, 250 USD"
SUBMERSION FESTIVAL 2025,"October 3- 4, 2025","Hammonton, NJ","45 GBP, 140 GBP"
SYMMETRY FESTIVAL 2025,"October 3- 4, 2025","Fairfield, IA","120 USD, 300 USD"
SYNDICATE FESTIVAL 2025,"October 4,  2025","Dortmund, Germany","67 EUR, 112 EUR"
WAKAAN MUSIC FESTIVAL 2025,"October 2- 4, 2025","Ozark, AR","269 USD, 499 USD"
WAVES VIENNA 2025,"October 2- 4, 2025","Vienna, Austria","N/A, N/A"
AFTERSHOCK FESTIVAL 2025,"October 2- 5, 2025","Sacramento, CA","179.99 USD, 1649.99 USD"
COUNTRY CALLING 2025,"October 3- 5, 2025","Ocean City, MD","69 GBP, 179 GBP"
DEFECTED MALTA 2025,"October 3- 5, 2025","Attard, Malta","279 EUR, 749 EUR"
FIELD AND STREAM MUSIC FEST 2025,"October 3- 5, 2025","Winnsboro, SC","79 USD, 499 USD"
FURNACE FEST 2025,"October 3- 5, 2025","Birmingham, AL","129 USD, 349 USD"
HARDLY STRICTLY BLUEGRASS 2025,"October 3- 5, 2025","San Francisco, CA","Gratuit, Gratuit"
MEMPHO FEST 2025,"October 3- 5, 2025","Memphis, TN","99 USD, 849 USD"
MOGA FESTIVAL 2025,"October 1- 5, 2025","Essaouira, Morocco","50EUR, 250EUR"
MOON CRUSH: AN AVETT MOON 2025,"October 3- 5, 2025","Miramar Beach, FL","185 USD, 600 USD"
NASHVILLE OKTOBERFEST 2025,"October 2- 5, 2025","Nashville, TN","Gratuit, 40 USD"
OKTOBERFEST MUNICH 2025,"September 20- October 5, 2025","Munich, Bavaria","14 EUR, 14.50 EUR"
OUT.FEST 2025,"October 2- 5, 2025","Barreiro, Portugal","20 EUR, 50 EUR"
REGGAE RISE UP VEGAS 2025,"October 3- 5, 2025","Las Vegas, NV","99 USD, 350 USD"
DRAGON DREAMING 2025,"October 3- 6, 2025","Wee Jasper, Australia","370 AUD, 690 AUD"
BLACKLIST FESTIVAL 2025,"October 11,  2025","Oberhausen, Germany","60 CHF, 80 CHF"
FESTIVAL VAIVEN 2025,"October 11,  2025","Morelos, Mexico","1 890 MXN, 7 690 MXN"
GREAT AMERICAN BEER FESTIVAL 2025,"October 9- 11, 2025","Denver, CO","95 USD, 210 USD"
PEACEMAKER FESTIVAL 2025,"October 10- 11, 2025","Fort Smith, AR","65 USD, 150 USD"
RIVERFRONT REVIVAL 2025,"October 10- 11, 2025","Charleston, SC","50 USD, 150 USD"
SNALLYGASTER 2025,"October 11,  2025","Washington, D.C.","45 USD, 125 USD"
TIME WARP SPAIN 2025,"October 10- 11, 2025","Madrid, Spain","69 EUR, 129 EUR"
TWISTERELLA FESTIVAL 2025,"October 11,  2025","Middlesbrough, UK","45 EUR, 90 EUR"
AUSTIN CITY LIMITS 2025,"October 3- 12, 2025","Austin, TX","160 USD, 1 600 USD"
BELLINGHAM EXIT 2025,"October 9- 12, 2025","Bellingham, WA","169 USD, 369 USD"
BEST FRIENDS FOREVER 2025,"October 10- 12, 2025","Las Vegas, NV","59.99 USD, 249.99 USD"
BLUE HIGHWAY FEST 2025,"October 8- 12, 2025","Big Stone Gap, VA","140 USD, 225 USD"
BREAKAWAY NORCAL 2025,"October 11- 12, 2025","Sacramento, CA","159 USD, 299 USD"
CAVEFEST 2025,"October 11- 12, 2025","Pelhman, TN",N/A
CREAMFIELDS CHILE 2025,"October 11- 12, 2025","Santiago, Chile","120 000 CLP, 250 000 CLP"
FALL FOR GREENVILLE 2025,"October 10- 12, 2025","Greenville, SC","Gratuit, Gratuit"
HILLBERRY 2025,"October 8- 12, 2025","Eureka Springs, AR","150 USD, 475 USD"
IRON HILLS COUNTRY FEST 2025,"October 11- 12, 2025","Birmingham, AL","89 USD, 299 USD"
JOSHUA TREE FESTIVAL FALL 2025,"October 9- 12, 2025","Joshua Tree, CA","199 USD, 649 USD"
MOONSHINER’S BALL 2025,"October 9- 12, 2025","Livingston, KY","89 USD, 399 USD"
NITEHARTS 2025,"October 11- 12, 2025","San Diego, CA","N/A, N/A"
NO BOUNDS FESTIVAL 2025,"October 10- 12, 2025","Sheffield, UK","399 USDCA, 999 USDCA"
OKTOBERFEST FRANKFURT 2025,"September 18- October 12, 2025","Frankfurt, Germany","N/A, N/A"
OKTOBERFEST HANNOVER 2025,"September 26- October 12, 2025","Hannover, Germany","N/A, N/A"
REDWEST FESTIVAL 2025,"October 10- 12, 2025","Salt Lake City, UT","79 USD, 499 USD"
SAVANNAH IN THE ROUND 2025,"October 9- 12, 2025","Mareeba, Australia","149 AUD, 799 AUD"
SHOALSFEST 2025,"October 11- 12, 2025","Florence, AL","25 USD, 125 USD"
SUWANNEE ROOTS REVIVAL 2025,"October 9- 12, 2025","Live Oak, FL","190 USD, 650 USD"
THE RAMBLE FESTIVAL 2025,"October 10- 12, 2025","Darlington, MD","169 USD, 499 USD"
TOMORROWLAND BRASIL 2025,"October 10- 12, 2025","Sao Paulo, Brazil","266 EUR, 625 EUR"
UNSOUND FESTIVAL 2025,"October 7- 12, 2025","Kraków, Poland","N/A, N/A"
VALLEY OF THE SEVEN STARS 2025,"October 10- 12, 2025","Arrington, VA","129 USD, 249 USD"
OFF THE GRID CAMPOUT SOCAL 2025,"October 9- 13, 2025","Apple Valley, CA","289 USD, 389 USD"
BOOTS IN THE PARK TUCSON 2025,"October 18,  2025","Tucson, AZ","79 USD, 159 USD"
COOPER-YOUNG BEERFEST 2025,"October 18,  2025","Memphis, TN","60 USD, 60 USD"
III POINTS 2025,"October 17- 18, 2025","Miami, FL","N/A, N/A"
KITCHENER WATERLOO OKTOBERFEST 2025,"September 26- October 18, 2025","Kitchener, ON","N/A, N/A"
MAGIC CITY FLOW FEST 2025,"October 18,  2025","Birmingham, AL","50 USD, 250 USD"
NDK FESTIVAL 2025,"October 8- 18, 2025","Caen, France","20 BGN, 120 BGN"
OKTOBERFEST MANNHEIM 2025,"October 17- 18, 2025","Mannheim, Germany","13 EUR, 59 EUR"
SAN ANTONIO BEER FESTIVAL 2025,"October 18,  2025","San Antonio, TX","45 USD, 80 USD"
SWN FESTIVAL 2025,"October 16- 18, 2025","Cardiff, UK","60 GBP, 100 GBP"
DESERTFEST ANTWERP 2025,"October 17- 19, 2025","Antwerp, Belgium","160 EUR, 200 EUR"
MISSION BAYFEST 2025,"October 17- 19, 2025","San Diego, CA","25 USD, 99 USD"
PHILLY MUSIC FEST 2025,"October 13- 19, 2025","Philadelphia, PA","55 USD, 175 USD"
SXSW SYDNEY 2025,"October 13- 19, 2025","Sydney, Australia","895 AUD, 2 495 AUD"
THE AMERICAN GERMAN CLUB OKTOBERFEST 2025,"October 10- 19, 2025","Lake Worth, FL","20 USD, 60 USD"
WHEN WE WERE YOUNG FESTIVAL 2025,"October 18- 19, 2025","Las Vegas, NV","270 USD, 650 USD"
ASTRONOX 2025,"October 16- 20, 2025","Austin, TX","59 EUR, 149 EUR"
EARTH FREQUENCY FESTIVAL 2025,"October 17- 20, 2025","Peak Crossing, Australia","370 AUD, 1 650 AUD"
STRAWBERRY MUSIC FESTIVAL FALL 2025,"October 16- 20, 2025","Grass Valley, CA","280 CNY, 1 680 CNY"
AMF 2025,"October 25,  2025","Amsterdam, Netherlands","79 EUR, 249 EUR"
CHARLESTON BEER FESTIVAL 2025,"October 25,  2025","Charleston, SC","60 USD, 65 USD"
DOWNTOWN BREW FESTIVAL 2025,"October 25,  2025","Las Vegas, NV","50 USD, 60 USD"
GREENVILLE COUNTRY MUSIC FEST 2025,"October 24- 25, 2025","Greenville, SC","79 USD, 699 USD"
INTO THE WOODS ADE FESTIVAL 2025,"October 24- 25, 2025","Amsterdam, Netherlands","N/A, N/A"
OKTOBERFEST OSLO 2025,"September 9- October 25, 2025","Oslo, Norway","N/A, N/A"
PULSO GNP 2025,"October 25,  2025","Querétaro, Mexico","890 MXN, 2 450 MXN"
RIDIN’ HEARTS FESTIVAL SYDNEY 2025,"October 25,  2025","Sydney, Australia","179 AUD, 799 AUD"
AMSTERDAM DANCE EVENT 2025,"October 22- 26, 2025","Amsterdam, Netherlands","N/A, N/A"
BLACK DEER IN THE CITY 2025,"October 25- 26, 2025","London, UK","55 GBP, 150 GBP"
CTC FESTIVAL 2025,"October 25- 26, 2025","Cape Town, South Africa","N/A, N/A"
ONE MUSICFEST 2025,"October 25- 26, 2025","Atlanta, GA","169 USD, 1799 USD"
RIDIN’ HEARTS FESTIVAL MELBOURNE 2025,"October 26,  2025","Melbourne, Austrialia","179 AUD, 699 AUD"
THE FEST 2025,"October 24- 26, 2025","Gainsville, FL","200 USD, 250 USD"
WICKED OAKS FESTIVAL 2025,"October 25- 26, 2025","Austin, TX","69.99 USD, 249.99 USD"
YOUR PARADISE FIJI 2025,"October 22- 27, 2025","Mamanucas, Fiji","2 199 AUD, 3 999 AUD"
BIME LIVE FESTIVAL 2025,"October 28- 31, 2025","Bilbao, Spain","48 EUR, 90 EUR"
HAUNTED FEST COLUMBUS 2025,"October 31,  2025","Columbus, OH","79 USD, 159 USD"
ROCK THE BELLS CRUISE 2025,"October 27- 31, 2025",Miami &amp; Bahamas,"499 USD, 4 299 USD"
BOO! SEATTLE 2025,"October 31- November 1, 2025","Seattle, WA","79.50 USD, 179.50 USD"
ESCAPE HALLOWEEN 2025,"October 31- November 1, 2025","San Bernardino, CA","90 USD, 300 USD"
SANCTUM FESTIVAL 2025,"October 31- November 1, 2025","Chicago, IL","50 USD, 120 USD"
CLUB TO CLUB (C2C) FESTIVAL 2025,"October 30- November 2, 2025","Torino, Italy","99 EUR, 179 EUR"
RITVALES FESTIVAL 2025,"November 1- 2, 2025","Medellín, Colombia","99 000 COP, 699 000 COP"
SUWANNEE HULAWEEN 2025,"October 30- November 2, 2025","Live Oak, FL","300 USD, 600 USD"
INTERSTELLAR GROOVE 2025,"October 30- November 3, 2025","Whroo, Australia","129 EUR, 499 EUR"
MEDITERRANEA METAL CRUISE 2025,"October 31- November 3, 2025","Mykonos, Greece","1 179 EUR, 3 999 EUR"
HEADBANGERS BOAT 2025,"October 31- November 4, 2025","Miami &amp; Cozumel, MX","1 079 USD, 3 959 USD"
EDSEA 2025,"November 1- 6, 2025","Miami &amp; Harvest Caye, Belize","229 USD, 699 USD"
SEMA FEST 2025,"November 7,  2025","Las Vegas, NV","N/A, N/A"
BILLIE’S CRAFT BEER FEST 2025,"November 8,  2025","Antwerp, Belgium","495 DKK, 1 395 DKK"
DUNEDIN CRAFT BEER FESTIVAL 2025,"November 7- 8, 2025","Dunedin, NZ","25 NZD, 65 NZD"
FESTIVAL OF WOOD AND BARREL-AGED BEER 2025,"November 7- 8, 2025","Chicago, IL","N/A, N/A"
FUTURE RUINS 2025,"November 8,  2025","Los Angeles, CA","N/A, N/A"
HOUSE OF METAL 2025,"November 7- 8, 2025","Umea, Sweden","899 SEK, 1 199 SEK"
ICELAND AIRWAVES 2025,"November 6- 8, 2025","Reykjavik, Iceland","24 900 ISK, 64 900 ISK"
MIRA FESTIVAL 2025,"November 7- 8, 2025","Barcelona, Spain","N/A, N/A"
OKTOBERFEST LEIPZIG 2025,"October 10- November 8, 2025","Leipzig, Germany","N/A, N/A"
ORLANDO BEER FESTIVAL 2025,"November 8,  2025","Orlando, FL","45 USD, 55 USD"
PITCHFORK LONDON 2025,"November 4- 8, 2025","London, UK","80 GBP, 100 GBP"
SOULSHINE AT SEA 2025,"November 4- 8, 2025","Miami &amp; Cozumel, Mexico","800 USD, 4,500 USD"
TIME WARP FALL 2025,"November 7- 8, 2025","Mannheim, Germany","N/A Annulé, N/A Annulé"
AIRLIE BEACH MUSIC FESTIVAL 2025,"November 7- 9, 2025","Queensland, Australia","150 AUD, 390 AUD"
BEYOND EXISTENCE 2025,"November 7- 9, 2025","Austin, TX","N/A, N/A"
DAMNATION 2025,"November 8- 9, 2025","Manchester, UK","79 GBP, 179 GBP"
EDC ORLANDO 2025,"November 7- 9, 2025","Orlando, FL","189 USD, 799 USD"
FREAKOUT FESTIVAL 2025,"November 6- 9, 2025","Seattle, WA","99 USD, 299 USD"
HARD ROCK HELL 2025,"November 6- 9, 2025","Great Yarmouth, UK","150 GBP, 600 GBP"
HOLO HOLO TACOMA 2025,"November 8- 9, 2025","Tacoma, WA","79 USD, 399 USD"
LE GUESS WHO? 2025,"November 6- 9, 2025","Utrecht, Netherlands","15 EUR, 110 EUR"
MOON CRUSH WHISKEY MOON 2025,"November 7- 9, 2025","Miramar Beach, FL","275 USD, 1 999 USD"
PITCHFORK PARIS 2025,"November 3- 9, 2025","Paris, France","N/A, N/A"
SONIC CITY 2025,"November 7- 9, 2025","Kortrijk, Belgium","77 EUR, 110 EUR"
THE HONDO RODEO FEST 2025,"November 7- 9, 2025","Phoenix, AZ","25 USD, 30 USD"
ALL BACK TO MINEHEAD 2025,"November 7- 10, 2025","Minehead, UK","GBP229, GBP1,239"
HOME BASS 2025,"November 6- 10, 2025","Orlando, FL","329 USD, 799 USD"
MAYDAY FESTIVAL POLAND 2025,"November 10,  2025","Katowice, Poland","349 PLN, 449 PLN"
S.S. NEVERENDER 2025,"November 8- 13, 2025","Miami &amp; Cozumel, Mexico","1 199 USD, 4 999 USD"
IMAGINATION FESTIVAL 2025,"November 14,  2025","Prague, Czech","999 CZK, 2 999 CZK"
HELLDORADO 2025,"November 15,  2025","Eindhoven, Netherlands","69 EUR, 109 EUR"
LIVE AT LEEDS IN THE CITY 2025,"November 15,  2025","Leeds, UK","49,50 GBP, 60,50 GBP"
MOON CRUSH ODIES BEACH VACATION 2025,"November 13- 15, 2025","Miramar Beach, FL","299 USD, 2 500 USD"
MOUNTAIN WEST BEER FEST 2025,"November 15,  2025","Rapid City, SD","55 USD, 65 USD"
SUNSHINE HOOTENANNY FESTIVAL 2025,"November 13- 15, 2025","Brooksville, FL","50 USD, 80 USD"
TEXAS CRAFT BREWERS FESTIVAL 2025,"November 15,  2025","Austin, TX","39 USD, 99 USD"
CAMP FLOG GNAW CARNIVAL 2025,"November 15- 16, 2025","Los Angeles, CA","335 USD, 1 100 USD"
CORONA CAPITAL 2025,"November 14- 16, 2025","Mexico City, Mexico","2 500 MXN, 15 000 MXN"
DUSK FESTIVAL 2025,"November 15- 16, 2025","Tucson, AZ","69 USD, 259 USD"
ROLLING LOUD THAILAND 2025,"November 14- 16, 2025","Pattaya City, Thailand","9 500 THB, 28 000 THB"
SEISMIC DANCE EVENT 2025,"November 14- 16, 2025","Austin, TX","179 USD, 499 USD"
WARPED TOUR ORLANDO 2025,"November 15- 16, 2025","Orlando, FL","N/A, N/A"
ZEN AWAKENING 2025,"November 13- 16, 2025","Lake Wales, FL","499 EUR, 1 499 EUR"
DREAMSTATE SOCAL 2025,"November 21- 22, 2025","Long Beach, CA","120 USD, 350 USD"
HARBOURLIFE 2025,"November 22,  2025","Sydney, Australia","89 AUD, 89 AUD"
M FOR MONTREAL 2025,"November 19- 22, 2025","Montreal, QC","Gratuit, 335 USD"
REVOLUTION CALLING 2025,"November 22,  2025","Eindhoven, Netherlands","25 GBP, 50 GBP"
ROLLING STONE BEACH 2025,"November 21- 22, 2025","Weissenhäuser Strand, Germany","179 EUR, 449 EUR"
BETTER TOGETHER 2025,"November 22- 23, 2025","Phoenix, AZ","N/A, N/A"
LONDON JAZZ FESTIVAL 2025,"November 14- 23, 2025","London, UK","Variable, Variable"
STRAWBERRY FIELDS 2025,"November 21- 23, 2025","Tocumwal, Australia","280 AUD, 420 AUD"
APOCALYPSE 2025,"November 28- 29, 2025","Long Beach, CA","64.50 EUR, 125 EUR"
FAIRGROUND FESTIVAL 2025,"November 29,  2025","Hanover, Germany","69,95 EUR, 179,95 EUR"
METAL HAMMER PARADISE 2025,"November 28- 29, 2025","Schleswig-Holstein, Germany","179 EUR, 249 EUR"
JOYLAND 2025,"November 28- 30, 2025","Senayan, Jakarta","800 CNY, 4 000 CNY"
PLAGE NOIRE 2025,"November 29- 30, 2025","Holstein, Germany","120 EUR, 200 EUR"
QUEENSCLIFF MUSIC FESTIVAL 2025,"November 28- 30, 2025","Queenscliff, Australia","200 AUD, 500 AUD"
BERGFESTIVAL 2025,"December 5- 6, 2025","Saalbach-Hinterglemm, Austria","169 EUR, 199 EUR"
LET IT ROLL PUERTO RICO 2026,"December 5- 6, 2025","Bayamon, PR","159 USD, 499 USD"
METAL AND BEER FEST DENVER 2025,"December 5- 6, 2025","Denver, CO","80 USD, 150 USD"
ORANGE BLOSSOM REVUE 2025,"December 5- 6, 2025","Lake Wales, FL","15 USD, 65 USD"
TOXICATOR 2025,"December 6,  2025","Mannheim, Germany","69,99 EUR, 99,99 EUR"
808 FESTIVAL 2025,"December 5- 7, 2025","Bangkok, Thailand","1 990 THB, 6 500 THB"
CLOCKENFLAP 2025,"December 5- 7, 2025",Hong Kong,"HKUSD 980, HKUSD 1,980"
EMBER SHORES 2025,"December 5- 7, 2025","Cancun, Mexico","200 USD, 500 USD"
LES TRANS MUSICALES 2025,"December 3- 7, 2025","Rennes, France","28 EUR, 42 EUR"
MEREDITH MUSIC FESTIVAL 2025,"December 5- 7, 2025","Meredith, Australia","469 AUD, 529 AUD"
WILD HORSES 2025,"December 4- 7, 2025","Victoria, Australia","499 AUD, 799 AUD"
EINDHOVEN METAL MEETING 2025,"December 12- 13, 2025","Eindhoven, Netherlands","165 EUR, 185 EUR"
NUKRANOX 2025,"December 13,  2025","Salzburg, Austria","N/A, N/A"
RISE FESTIVAL 2025,"December 6- 13, 2025","Les 2 Alpes, France","329 GBP, 529 GBP"
SOUNDSTORM 2025,"December 11- 13, 2025","Riyadh, Saudi Arabia","139 SAR, 2 999 SAR"
DJAKARTA WAREHOUSE PROJECT 2025,"December 12- 14, 2025","Bali, Indonesia","N/A, N/A"
RAVE ON SNOW 2025,"December 12- 14, 2025","Saalbach Hinterglemm, Austria","189 EUR, 389 EUR"
SPILT MILK FESTIVAL 2025,"December 6- 14, 2025",Australia Tour,"150 AUD, 250 AUD"
STRINGS & SOL 2025,"December 11- 15, 2025","Puerto Morelos, Mexico","319 USD, 1 999 USD"
WONDERFRUIT FESTIVAL 2025,"December 11- 15, 2025","Pattaya, Thailand","7 200 THB, 12 900 THB"
LIGHTS ALL NIGHT 2025,"December 30- 31, 2025","Dallas, TX","129 USD, 249 USD"
RHYTHM AND ALPS 2025,"December 30- 31, 2025","Wanaka, New Zealand","199 GBP, 249 GBP"
LOST PARADISE 2025,"December 28- January 1, 2026","Glenworth Valley, Australia","289 AUD, 649 AUD"
RHYTHM AND VINES 2025,"December 29- January 1, 2026","Gisborne, New Zealand","179 NZD, 449 NZD"
WOODFORD FOLK FESTIVAL 2025,"December 27- January 1, 2026","Woodford, Australia","270 AUD, 1 750 AUD"
THE MUSICFEST STEAMBOAT 2026,"January 5- 10, 2026","Steamboat Springs, CO","N/A, N/A"
OUT OF THE BLUE FESTIVAL 2026,"January 8- 11, 2026","Cancun, Mexico","40 GBP, 40 GBP"
CLOSER TO THE SUN 2026,"January 10- 14, 2026","Puerto Aventuras, Mexico","599 USD, 1 999 USD"
COPPER STATE BEER FESTIVAL 2026,"January 17,  2026","Mesa, AZ","45 USD, 55 USD"
EUROSONIC NOORDERSLAG 2026,"January 14- 17, 2026","Groningen, Netherlands","N/A, N/A"
CRASH MY PLAYA 2026,"January 15- 18, 2026","Cancun, Mexico","319 USD, 1 599 USD"
EDC THAILAND 2026,"January 16- 18, 2026","Phuket, Thailand","8 500 THB, 28 000 THB"
30A SONGWRITERS FESTIVAL 2026,"January 16- 19, 2026","Santa Rosa Beach, FL","N/A Pas encore annoncé, N/A Pas encore annoncé"
WILCO’S SKY BLUE SKY FESTIVAL 2026,"January 15- 19, 2026","Puerto Aventuras, Mexico","279 USD, 1 999 USD"
FRIENDSHIP 2026,"January 18- 22, 2026","Miami &amp; Harvest Caye, Belize","599 USD, 3 999 USD"
SNOWATTACK 2026,"January 17- 24, 2026","Les Deux Alpes, France","189 EUR, 609 EUR"
BIG EASY CRUISE 2026,"January 18- 25, 2026","Ft. Lauderdale, Key West, &amp; Belize","2 249 USD, 8 499 USD"
TAMWORTH COUNTRY MUSIC FESTIVAL 2026,"January 16- 25, 2026","Tamworth, Australia","Gratuit, 450 AUD"
GROOVE CRUISE 2026,"January 22- 26, 2026","Miami, FL","1 099 USD, 5 000 USD"
MILE 0 FESTIVAL KEY WEST 2026,"January 27- 31, 2026","Key West, FL","299 USD, 2 499 USD"
SHIPROCKED 2026,"January 25- 31, 2026","Miami &amp; Nassau, Bahamas","1 799 USD, 5 299 USD"
SNEEUWBAL WINTER FESTIVAL 2026,"January 31,  2026","Utrecht, Netherlands","64,50 EUR, 94,50 EUR"
THE COUNTRY MUSIC CRUISE 2026,"January 25- February 1, 2026","Ft. Lauderdale, FL","1 399 USD, 6 999 USD"
